Factory,Month,GHG,SAH,EFF,WH,W
1122,2019-12-01,6979.9,169519.0,0.48,690727.0,3127.0
1396,2019-12-01,7145.5,153722.0,0.32,970386.0,4494.0
150,2019-11-01,8372.6,276765.0,0.78,732315.0,3330.0
434,2019-11-01,15477.9,330032.0,0.49,1237845.0,5570.0
761,2019-11-01,29096.7,166100.0,0.54,636209.0,2944.0
1122,2019-11-01,6336.2,114720.0,0.48,452238.0,2032.0
1396,2019-11-01,4076.3,150308.0,0.39,767815.0,3506.0
150,2019-10-01,6823.1,287944.0,0.69,793408.0,3601.0
434,2019-10-01,16897.5,280980.0,0.47,1135642.0,5150.0
761,2019-10-01,18492.1,117553.0,0.63,364175.0,1673.0
1122,2019-10-01,7896.1,165946.0,0.54,632997.0,2843.0
1396,2019-10-01,4347.4,127236.0,0.33,746206.0,3414.0
150,2019-09-01,10021.0,263954.0,0.7,705942.0,3241.0
434,2019-09-01,17797.7,256092.0,0.48,1168987.0,5392.0
761,2019-09-01,15638.1,128259.0,0.72,361206.0,1666.0
1122,2019-09-01,7313.3,125556.0,0.52,509100.0,2300.0
1396,2019-09-01,4623.2,152561.0,0.44,751773.0,3406.0
150,2019-08-01,8134.9,285828.0,0.82,767146.0,3511.0
434,2019-08-01,14102.0,280856.0,0.53,941979.0,4340.0
761,2019-08-01,13286.7,149294.0,0.75,370078.0,1667.0
1122,2019-08-01,7058.5,133797.0,0.57,488118.0,2217.0
1396,2019-08-01,6941.7,139461.0,0.36,804771.0,3652.0
150,2019-07-01,7934.3,220852.0,0.56,767436.0,3532.0
434,2019-07-01,23344.4,296390.0,0.41,1361828.0,6207.0
761,2019-07-01,20171.0,152209.0,0.59,574973.0,2595.0
1122,2019-07-01,6061.1,143127.0,0.48,599206.0,2807.0
1396,2019-07-01,7177.8,167779.0,0.36,937878.0,4249.0
150,2019-06-01,9057.3,282966.0,0.7,728752.0,3367.0
434,2019-06-01,24371.1,288089.0,0.44,1390443.0,6353.0
761,2019-06-01,18935.7,168279.0,0.61,557223.0,2570.0
1122,2019-06-01,7758.7,164831.0,0.57,575846.0,2645.0
1396,2019-06-01,6821.3,192293.0,0.37,1131055.0,5139.0
150,2019-05-01,8990.2,292667.0,0.59,993268.0,4453.0
434,2019-05-01,16233.9,270458.0,0.58,978581.0,4483.0
761,2019-05-01,19067.3,174587.0,0.72,510258.0,2271.0
1122,2019-05-01,10814.9,164388.0,0.47,742599.0,3303.0
1396,2019-05-01,6916.9,131279.0,0.32,809247.0,3665.0
150,2019-04-01,8494.9,240820.0,0.86,568466.0,2601.0
